area_scraped,area_median_rent,neighbourhood_median_rent,tier_median_rent,tier_encoded,latitude,longitude,dist_to_vi_km,dist_to_ikeja_km,location_tier,tier_target_enc
Abraham Adesanya Estate Ajah,5000000.0,5500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Ajah,2500000.0,2500000.0,9000000.0,4,6.4694716,3.5623861,16.221621966095302,27.554716071202268,gra,16.03649203634543
Allied Garden Estate Badore Ajah,2800000.0,2500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Alternative Route Chevron Lekki,5500000.0,12000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Araromi Iyana Ipaja Iyana Ipaja Ipaja,1200000.0,500000.0,2500000.0,1,6.6070526181415925,3.2987853163716814,24.084199232631686,5.851926950387047,suburb,14.710918515661618
Badore Ajah,3000000.0,2500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Badore Badore Ajah,1200000.0,2500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Banana Island Ikoyi,50000000.0,50000000.0,40000000.0,5,6.4600581,3.4593152,5.476662188798105,19.75533639296449,island,17.44124112056735
Behind Prime Waters Lekki Phase 1 Lekki,3500000.0,9500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Boudilion Court Chevron Lekki Chevron Lekki,2000000.0,12000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
By Blenco Supermarket Sangotedo Ajah,4000000.0,5000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Canaan Estate Ajah,3500000.0,5500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Chevron Lekki,5500000.0,12000000.0,9000000.0,4,6.4722651,3.6290261,23.43897068867165,33.873731366911464,gra,16.03649203634543
Egba,600000.0,600000.0,7000000.0,2,6.6478943,3.3046224,27.646169849801296,7.285555260685474,unknown,15.604110259474439
Elegushi Ikate Lekki,7500000.0,13500000.0,9000000.0,4,6.4254831,3.477962,6.23457789363179,24.074271988986723,gra,16.03649203634543
Evergreen Estate Aboru Iyana Ipaja Ipaja,2500000.0,500000.0,2500000.0,1,6.6070526181415925,3.2987853163716814,24.084199232631686,5.851926950387047,suburb,14.710918515661618
Fagba Agege,1700000.0,6250000.0,2500000.0,1,6.6070526181415925,3.2987853163716814,24.084199232631686,5.851926950387047,suburb,14.710918515661618
Gbagada,2500000.0,3000000.0,6000000.0,3,6.558073,3.3836208,15.049137268886314,6.019178396141282,upscale-mainland,15.700015006452483
Gbangbala Ikate Lekki,7500000.0,13500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Gra Abijo Ajah,1500000.0,2000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Green Villa Estates Badore Ajah,550000.0,2500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Greenville Estate Badore Ajah,2000000.0,2500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Happyland Estates Sangotedo Ajah,6500000.0,5000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Ikate Ikate Lekki,2500000.0,13500000.0,9000000.0,4,6.435144,3.4926043,7.884627483887706,24.216006990161983,gra,16.03649203634543
Ikate Lekki,1400000.0,13500000.0,9000000.0,4,6.435144,3.4926043,7.884627483887706,24.216006990161983,gra,16.03649203634543
Ikeja,4000000.0,4000000.0,10000000.0,2,6.5974727,3.3432815,20.72584601477137,1.0274379663012951,mainland,15.604110259474439
Ilupeju,10000000.0,6000000.0,6000000.0,3,6.5550545,3.3592829,15.706151258187145,5.268481206520556,upscale-mainland,15.700015006452483
In An Estate At New Oko Oba Agege,2500000.0,2500000.0,2500000.0,1,6.6070526181415925,3.2987853163716814,24.084199232631686,5.851926950387047,suburb,14.710918515661618
In An Estate Ikate Lekki,17000000.0,13500000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Ipaja,1100000.0,1100000.0,2500000.0,1,6.6046647,3.2736963,25.54310771748299,8.599887285044417,suburb,14.710918515661618
Isolo,1800000.0,1800000.0,10000000.0,2,6.5285086,3.3187801,15.92815842188414,8.915188870508834,mainland,15.604110259474439
Langbasa Ado Ajah,1700000.0,2650000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Langbasa Ado Road Ajah,3300000.0,3300000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Lekki,3000000.0,3000000.0,9000000.0,4,6.4528,3.4788,6.891182059025371,21.73195812748965,gra,16.03649203634543
Lekki Phase 1 Freedom Way Lekki,25000000.0,25000000.0,9000000.0,4,6.481777960697906,3.482655302113659,9.007447523062032,19.69868451490436,gra,16.03649203634543
Lekki Phase 1 Lekki,5250000.0,9500000.0,9000000.0,4,6.4528469,3.4787838,6.891620784961424,21.72682379213839,gra,16.03649203634543
