source,scrape_date,listing_id,title,price_raw,annual_rent_naira,bedrooms_raw,bedrooms,bathrooms,location_raw,neighbourhood,state,area_scraped,prop_type_scraped,furnished,bedrooms_enc,location_tier,year_listed,log_annual_rent,neighbourhood_median_rent,area_median_rent,tier_median_rent,price_tier
propertypro,2026-05-25,pp_3PLMM,Mini Flat,"₦ 2,000,000/year",2000000.0,1 Beds 1 Baths,1,1.0,"Off Awoyokun, Ilupeju, Lagos Ilupeju Lagos",Lagos,Lagos,,flats-apartments,,2.0,unknown,2026.0,14.508658238524095,2000000.0,,7000000.0,Mid-range
propertypro,2026-05-25,pp_8PPKV,Newly Built And Standard Miniflat,"₦ 1,800,000/year",1800000.0,3 Beds 3 Baths,3,3.0,"Ilupeju Palmgrove, Lagos Ilupeju Lagos",Lagos,Lagos,,flats-apartments,,4.0,unknown,2026.0,14.403297778421797,2000000.0,,7000000.0,Mid-range
propertypro,2026-05-25,pp_1PHDW,,"₦ 5,000,000/year",5000000.0,2 Bedroom Apartment With Bq,2,,Abraham Adesanya Estate Ajah Lagos,Estate,Lagos,Abraham Adesanya Estate Ajah,flats-apartments,,3.0,gra,2026.0,15.424948670398354,5500000.0,5000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_7PABN,,"₦ 2,500,000/year",2500000.0,2 Bedroom Flat,2,,"Off Lekki Epe Expressway, Ajah Lagos","Expressway,",Lagos,Ajah,flats-apartments,,3.0,gra,2026.0,14.731801689838347,2500000.0,2500000.0,9000000.0,Mid-range
propertypro,2026-05-25,pp_1PJRW,,"₦ 2,800,000/year",2800000.0,2 Bedroom Flat,2,1.0,Allied Garden Estate Badore Ajah Lagos,Badore,Lagos,Allied Garden Estate Badore Ajah,flats-apartments,,3.0,gra,2026.0,14.845130332288226,2500000.0,2800000.0,9000000.0,Premium
propertypro,2026-05-25,pp_7PMFE,,"₦ 5,500,000/year",5500000.0,Newly Built 2 Bedroom Flat,2,3.0,Alternative Route Chevron Lekki Lagos,Chevron,Lagos,Alternative Route Chevron Lekki,flats-apartments,,3.0,gra,2026.0,15.520258832020865,12000000.0,5500000.0,9000000.0,Premium
propertypro,2026-05-25,pp_4PLMK,Mini Flat,"₦ 1,200,000/year",1200000.0,,mini-flat,,Araromi Iyana Ipaja Iyana Ipaja Ipaja Lagos,Ipaja,Lagos,Araromi Iyana Ipaja Iyana Ipaja Ipaja,flats-apartments,,1.0,suburb,2026.0,13.997832948091215,500000.0,1200000.0,2500000.0,Mid-range
propertypro,2026-05-25,pp_8PGDZ,,"₦ 1,700,000/year",1700000.0,1 Bedroom Apartment,1,4.0,Badore Ajah Lagos,Badore,Lagos,Badore Ajah,flats-apartments,,2.0,gra,2026.0,14.346139397261563,2500000.0,3000000.0,9000000.0,Mid-range
propertypro,2026-05-25,pp_8PGEX,,"₦ 3,600,000/year",3600000.0,Brand New 2 Bedroom Flat Upstairs,2,,"Seaside Estates, Badore Ajah Lagos",Badore,Lagos,Badore Ajah,flats-apartments,,3.0,gra,2026.0,15.096444681204078,2500000.0,3000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_7PPUH,,"₦ 3,000,000/year",3000000.0,Standard And Sharp 2 Bedroom Apartment,2,,Badore Ajah Lagos,Badore,Lagos,Badore Ajah,flats-apartments,,3.0,gra,2026.0,14.914123179965662,2500000.0,3000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_4PCMR,,"₦ 2,800,000/year",2800000.0,Standard 2 Bedroom Apartment,2,2.0,"Seaside Estate, Badore Ajah Lagos",Badore,Lagos,Badore Ajah,flats-apartments,,3.0,gra,2026.0,14.845130332288226,2500000.0,3000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_6PGVG,,"₦ 3,200,000/year",3200000.0,Sharp 2 Bedroom Flat,2,,"Westwood Estate, Badore Ajah Lagos",Badore,Lagos,Badore Ajah,flats-apartments,,3.0,gra,2026.0,14.978661680269909,2500000.0,3000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_8PLSQ,,"₦ 3,500,000/year",3500000.0,Lovely 3 Bedroom Flat,3,,"First Unity Estate, Badore Ajah Lagos",Badore,Lagos,Badore Ajah,flats-apartments,,4.0,gra,2026.0,15.068273812173889,2500000.0,3000000.0,9000000.0,Premium
propertypro,2026-05-25,pp_7PLGY,Standard Room Self Contained,"₦ 1,000,000/year",1000000.0,,self-con,,"Abbibotu Close, Badore Ajah Lagos",Badore,Lagos,Badore Ajah,flats-apartments,,0.0,gra,2026.0,13.815511557963774,2500000.0,3000000.0,9000000.0,Mid-range
propertypro,2026-05-25,pp_3PPXQ,Sharp Spacious Mini Flat Pay And Pack Inn,"₦ 1,200,000",1200000.0,,mini-flat,,Badore Badore Ajah Lagos,Badore,Lagos,Badore Badore Ajah,flats-apartments,,1.0,gra,2026.0,13.997832948091215,2500000.0,1200000.0,9000000.0,Mid-range
propertypro,2026-05-25,pp_7PPSX,,"₦ 50,000,000/year",50000000.0,2 Beds 3 Baths,2,3.0,Banana Island Ikoyi Lagos,Island,Lagos,Banana Island Ikoyi,flats-apartments,,3.0,island,2026.0,17.72753358339242,50000000.0,50000000.0,40000000.0,Luxury
